name,srid,active,hof,positions,start,end,letter
Harry Marker,MarkHa20,FALSE,FALSE,B,1934,1934,M
Dale Markham,MarkDa20,FALSE,FALSE,T-DE,1980,1981,M
Jeff Markland,MarkJe20,FALSE,FALSE,TE,1988,1988,M
Steve Marko,MarkSt20,FALSE,FALSE,HB,1944,1944,M
Vic Markov,MarkVi20,FALSE,FALSE,T,1938,1938,M
Mark Markovich,MarkMa20,FALSE,FALSE,C-G,1974,1977,M
Larry Marks,MarkLa20,FALSE,FALSE,B,1927,1928,M
Sen'Derrick Marks,MarkSe99,TRUE,FALSE,DT,2009,2016,M
Seth Marler,marleset01,FALSE,FALSE,K,2003,2003,M
Dean Marlowe,MarlDe00,TRUE,FALSE,S,2015,2016,M
Sal Marone,MaroSa20,FALSE,FALSE,G,1943,1943,M
Laurence Maroney,MaroLa00,FALSE,FALSE,RB,2006,2010,M
Duke Maronic,MaroDu20,FALSE,FALSE,G,1944,1951,M
Steve Maronic,MaroSt20,FALSE,FALSE,T,1939,1940,M
Lou Marotti,MaroLo20,FALSE,FALSE,G,1943,1945,M
Ali Marpet,MarpAl00,TRUE,FALSE,C,2015,2017,M
Rube Marquardt,MarqRu20,FALSE,FALSE,E,1921,1921,M
Bob Marques,MarqBo20,FALSE,FALSE,LB,1960,1960,M
Bradley Marquez,MarqBr00,TRUE,FALSE,WR,2015,2017,M
Doug Marrone,MarrDo20,FALSE,FALSE,G-C-T,1987,1989,M
John Marrow,MarrJo20,FALSE,FALSE,G-T,1937,1938,M
Vince Marrow,MarrVi20,FALSE,FALSE,TE,1994,1994,M
Jim Marsalis,MarsJi01,FALSE,FALSE,DB,1969,1977,M
Aaron Marsh,MarsAa00,FALSE,FALSE,WR,1968,1969,M
Amos Marsh,MarsAm00,FALSE,FALSE,HB-FB,1961,1967,M
Cassius Marsh,MarsCa00,TRUE,FALSE,DE,2014,2017,M
Curt Marsh,MarsCu20,FALSE,FALSE,G,1981,1986,M
Curtis Marsh,MarsCu00,FALSE,FALSE,WR,1995,1997,M
Curtis Marsh,MarsCu01,FALSE,FALSE,DB,2011,2014,M
Dick Marsh,MarsDi20,FALSE,FALSE,G,1933,1933,M
Doug Marsh,MarsDo00,FALSE,FALSE,TE,1980,1986,M
Frank Marsh,MarsFr20,FALSE,FALSE,DB,1967,1967,M
Al Marshall,MarsAl00,FALSE,FALSE,WR,1974,1974,M
Alfonso Marshall,MarsAl20,FALSE,FALSE,DB,2004,2004,M
Anthony Marshall,MarsAn20,FALSE,FALSE,DB,1994,1998,M
Arthur Marshall,MarsAr00,FALSE,FALSE,WR,1992,1996,M
Bobby Marshall,MarsBo20,FALSE,FALSE,E,1920,1925,M
Brandon Marshall,MarsBr00,TRUE,FALSE,WR,2006,2017,M
Brandon Marshall,MarsBr01,TRUE,FALSE,OLB,2012,2017,M
Bud Marshall,MarsBu20,FALSE,FALSE,DT-DE,1965,1968,M
Byron Marshall,MarsBy01,TRUE,FALSE,RB,2016,2017,M
Charley Marshall,MarsCh20,FALSE,FALSE,E,1931,1932,M
Chuck Marshall,MarsCh21,FALSE,FALSE,DB,1962,1962,M
David Marshall,MarsDa20,FALSE,FALSE,LB,1984,1987,M
Ed Marshall,MarsEd00,FALSE,FALSE,WR,1971,1977,M
Greg Marshall,MarsGr20,FALSE,FALSE,DT,1978,1978,M
Henry Marshall,MarsHe00,FALSE,FALSE,WR,1976,1987,M
Jalin Marshall,MarsJa01,TRUE,FALSE,WR,2016,2016,M
James Marshall,MarsJa20,FALSE,FALSE,DB,1980,1980,M
Jim Marshall,MarsJi00,FALSE,FALSE,DE,1960,1979,M
Keyonta Marshall,MarsKe20,FALSE,FALSE,DT,2005,2005,M
Larry Marshall,MarsLa20,FALSE,FALSE,DB,1972,1978,M
Lemar Marshall,MarsLe20,FALSE,FALSE,LB,2002,2007,M
Leonard Marshall,MarsLe00,FALSE,FALSE,DE-DT,1983,1994,M
Marvin Marshall,MarsMa20,FALSE,FALSE,WR,1996,1996,M
Nick Marshall,MarsNi00,TRUE,FALSE,CB,2015,2016,M
Phil Marshall,MarsPh20,FALSE,FALSE,E,1920,1920,M
Randy Marshall,MarsRa20,FALSE,FALSE,DE,1970,1971,M
Rasheed Marshall,MarsRa00,FALSE,FALSE,WR,2005,2005,M
Richard Marshall,MarsRi20,FALSE,FALSE,DB,2006,2014,M
